name,lat,lng,max_temp_f,humidity,cloudiness,windspeed,country,date
Kautokeino,69.01,23.04,44.49,87,100,25.3,NO,1600891434
East London,-33.02,27.91,67.75,53,12,2.42,ZA,1600891394
Vaini,-21.2,-175.2,71.6,94,20,9.17,TO,1600891434
Cape Town,-33.93,18.42,59.0,93,75,12.75,ZA,1600891146
Fort Nelson,58.81,-122.7,50.0,81,75,2.24,CA,1600891434
Mataura,-46.19,168.86,51.01,76,81,5.99,NZ,1600891435
Hoquiam,46.98,-123.89,63.0,82,90,28.86,US,1600891331
Hermanus,-34.42,19.23,52.0,93,0,7.94,ZA,1600891435
Hobart,-42.88,147.33,42.01,93,75,6.93,AU,1600891240
Rikitea,-23.12,-134.97,72.46,75,0,13.6,PF,1600891435
São Filipe,14.9,-24.5,80.6,80,33,6.53,CV,1600891436
Albany,42.6,-73.97,73.99,45,17,12.28,US,1600890666
Kamaishi,39.27,141.88,63.5,83,100,15.41,JP,1600891436
Catuday,16.29,119.81,78.15,84,100,3.11,PH,1600891436
Karratha,-20.74,116.85,72.93,38,70,5.77,AU,1600891436
Suez,29.97,32.53,76.14,76,0,12.84,EG,1600891437
Petrovsk-Zabaykal'skiy,51.27,108.84,34.34,88,0,3.15,RU,1600891437
Dudinka,69.41,86.18,39.2,86,40,6.71,RU,1600891437
San Patricio,19.22,-104.7,89.6,66,20,6.93,MX,1600891437
Ribeira Grande,38.52,-28.7,66.2,63,40,13.87,PT,1600891438
Arraial do Cabo,-22.97,-42.03,71.6,83,75,13.87,BR,1600891438
Ekimchan,53.07,132.97,40.03,85,0,2.42,RU,1600891438
Pagudpud,18.56,120.79,79.45,76,97,5.21,PH,1600891438
Noumea,-22.28,166.46,69.8,68,90,6.93,NC,1600891439
Castro,-24.79,-50.01,68.0,65,41,7.0,BR,1600891244
Grand Gaube,-20.01,57.66,66.99,73,2,3.0,MU,1600891439
Salalah,17.02,54.09,80.6,83,75,8.05,OM,1600891439
Khatanga,71.97,102.5,46.15,93,100,2.98,RU,1600891439
Rantauprapat,2.1,99.83,73.99,94,100,1.45,ID,1600891440
Bengkulu,-3.8,102.27,78.22,86,100,5.17,ID,1600891274
Ushuaia,-54.8,-68.3,53.6,77,40,19.46,AR,1600891316
Provideniya,64.38,-173.3,37.4,74,55,3.06,RU,1600891440
Ulladulla,-35.35,150.47,52.0,66,5,14.99,AU,1600891440
Codrington,-38.27,141.97,40.23,91,43,8.63,AU,1600890953
Olenegorsk,68.15,33.3,41.0,79,71,6.93,RU,1600891441
Pizarro,4.95,-77.37,77.88,85,100,10.4,CO,1600891441
Port Elizabeth,-33.92,25.57,55.4,93,0,4.7,ZA,1600891441
Busselton,-33.65,115.33,54.0,53,0,15.3,AU,1600891378
Katsuura,35.13,140.3,69.8,77,75,24.16,JP,1600891442
Torrington,41.8,-73.12,77.0,58,1,3.0,US,1600891442
Saldanha,-33.01,17.94,57.2,76,0,6.93,ZA,1600891442
Bredasdorp,-34.53,20.04,50.0,93,0,1.12,ZA,1600891442
Hasaki,35.73,140.83,70.0,100,75,16.11,JP,1600891315
Muzhi,65.37,64.67,39.69,92,100,4.41,RU,1600891443
Sola,-13.88,167.55,78.17,80,16,18.12,VU,1600891443
Camargo,27.67,-105.17,87.46,15,0,2.39,MX,1600891243
Orcopampa,-15.27,-72.34,63.36,24,8,12.33,PE,1600891443
Tiksi,71.69,128.87,40.68,81,5,10.25,RU,1600891444
George Town,5.41,100.34,78.8,94,40,5.82,MY,1600891146
Tasiilaq,65.61,-37.64,32.0,85,20,3.36,GL,1600891444
Russell,32.35,-85.2,80.6,54,75,3.36,US,1600891145
Weligama,5.97,80.42,77.27,88,48,6.6,LK,1600891445
Westport,41.14,-73.36,81.0,52,0,1.01,US,1600891296
Dingle,11.0,122.67,75.58,88,77,1.61,PH,1600891445
Tevriz,57.51,72.4,41.41,95,100,8.63,RU,1600891445
Terenos,-20.44,-54.86,87.8,35,40,3.36,BR,1600891445
New Norfolk,-42.78,147.06,41.0,77,64,1.45,AU,1600891157
Hong Kong,22.29,114.16,82.0,78,77,4.05,HK,1600891335
Sobrance,48.74,22.18,57.99,68,67,4.59,SK,1600891446
Hithadhoo,-0.6,73.08,82.22,62,100,5.35,MV,1600891446
Presque Isle,46.68,-68.02,71.6,37,1,16.11,US,1600891403
Lebu,-37.62,-73.65,53.96,71,0,15.9,CL,1600891447
Berdigestyakh,62.1,126.7,34.57,90,21,1.9,RU,1600891447
Kapaa,22.08,-159.32,82.4,69,40,13.87,US,1600891447
Atuona,-9.8,-139.03,78.3,73,5,21.61,PF,1600891447
Shingū,33.73,135.98,68.63,82,4,4.85,JP,1600891447
Longyearbyen,78.22,15.64,32.0,93,75,8.05,SJ,1600891283
Moindou,-21.69,165.68,69.8,68,90,6.93,NC,1600891448
Teya,60.38,92.63,46.11,87,100,6.11,RU,1600891422
Nanortalik,60.14,-45.24,39.65,73,100,10.09,GL,1600891448
Sur,22.57,59.53,84.13,43,100,3.04,OM,1600891448
Bluff,-46.6,168.33,51.01,76,100,5.99,NZ,1600891266
Koutsouras,35.03,25.95,77.0,54,0,4.0,GR,1600891449
Eséka,3.65,10.77,69.89,96,100,1.63,CM,1600891450
Avarua,-21.21,-159.78,73.4,100,100,2.24,CK,1600891450
Asău,46.43,26.4,55.0,86,100,3.42,RO,1600891450
Esperance,-33.87,121.9,44.6,100,0,5.82,AU,1600891400
Sharkan,57.3,53.87,43.0,84,85,9.17,RU,1600891450
Ulety,51.36,112.48,41.7,81,100,2.57,RU,1600891451
Geraldton,-28.77,114.6,66.2,24,100,13.87,AU,1600890852
Talnakh,69.49,88.4,39.2,86,40,6.71,RU,1600891451
Shizunai-furukawachō,42.33,142.37,55.15,79,89,6.6,JP,1600891451
Tianpeng,30.99,103.94,69.01,49,100,1.01,CN,1600891451
Nishifukuma,33.77,130.47,71.6,94,100,1.12,JP,1600891452
Praia,14.92,-23.51,82.4,78,20,10.29,CV,1600890760
Ereymentau,51.62,73.1,41.45,82,0,18.37,KZ,1600891452
Tarakan,3.3,117.63,79.03,82,100,8.32,ID,1600891452
Saint-Philippe,-21.36,55.77,64.4,68,0,1.12,RE,1600890883
Yellowknife,62.46,-114.35,52.0,81,75,9.17,CA,1600891453
Thompson,55.74,-97.86,51.8,57,75,6.93,CA,1600891446
Champerico,14.3,-91.92,89.6,70,75,6.93,GT,1600891453
Barrow,71.29,-156.79,30.2,68,90,4.7,US,1600891453
Sitka,57.05,-135.33,55.4,76,90,9.17,US,1600891454
Whitehorse,60.72,-135.05,44.6,81,90,5.82,CA,1600891241
Kiryat Gat,31.61,34.76,80.01,68,14,3.0,IL,1600891454
Port Alfred,-33.59,26.89,61.63,80,0,2.68,ZA,1600891454
Beloha,-25.17,45.05,58.98,73,0,9.26,MG,1600891455
Arlit,18.74,7.39,96.87,13,0,13.82,NE,1600891455
Riacho de Santana,-13.61,-42.94,90.18,28,73,10.69,BR,1600891455
Barranca,-10.75,-77.77,66.49,70,15,8.84,PE,1600891455
Constitución,-35.33,-72.42,62.22,56,100,13.04,CL,1600891286
Punta Arenas,-53.15,-70.92,53.6,54,40,36.91,CL,1600891456
Ponta do Sol,32.67,-17.1,75.2,78,20,5.82,PT,1600891396
Sayville,40.74,-73.08,80.01,41,20,16.11,US,1600891388
Nikolskoye,59.7,30.79,62.01,82,5,4.47,RU,1600891456
Acapulco de Juárez,16.86,-99.89,89.6,66,40,5.82,MX,1600891331
Cabo San Lucas,22.89,-109.91,91.99,62,20,5.82,MX,1600891412
Inhambane,-23.86,35.38,66.11,76,0,9.8,MZ,1600891457
Fortuna,40.6,-124.16,79.0,53,1,9.17,US,1600891457
Faanui,-16.48,-151.75,78.69,80,3,16.73,PF,1600891458
Alcañiz,41.05,-0.13,68.0,78,97,1.99,ES,1600891357
Gouré,13.98,10.27,91.99,35,83,1.99,NE,1600891458
Jiuquan,39.74,98.52,56.77,38,100,1.7,CN,1600891458
Tuktoyaktuk,69.45,-133.04,37.4,93,90,8.05,CA,1600891458
Ilulissat,69.22,-51.1,28.4,58,20,4.7,GL,1600891459
Iqaluit,63.75,-68.51,35.6,81,90,21.92,CA,1600891325
Carnarvon,-24.87,113.63,62.6,82,75,5.82,AU,1600891459
Laguna,38.42,-121.42,88.0,30,1,5.82,US,1600891459
Port Said,31.26,32.28,79.11,71,0,11.32,EG,1600891219
Lüderitz,-26.65,15.16,61.11,61,0,2.46,NA,1600890868
Dem'yanovo,60.35,47.08,39.52,87,75,2.35,RU,1600891460
Ixtapa,20.7,-105.2,89.6,66,40,10.29,MX,1600891170
